date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:28	46575/46575	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2009:18:42%20GMT	http://bnbkeeper.webimprovise.com/au/discover-our-services	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/au/discover-our-services.html	(from http://bnbkeeper.webimprovise.com/au)
20:16:30	49680/49680	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2009:18:43%20GMT	http://bnbkeeper.webimprovise.com/au/discover-our-keepers	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/au/discover-our-keepers.html	(from http://bnbkeeper.webimprovise.com/au)
20:16:31	37821/37821	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2009:18:44%20GMT	http://bnbkeeper.webimprovise.com/au/how-does-it-work	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/au/how-does-it-work.html	(from http://bnbkeeper.webimprovise.com/au)
20:16:33	15418/15418	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Jul%202016%2013:42:14%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/js/libs/modernizr-2.6.2.min.js	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/js/libs/modernizr-2.6.2.min.js	(from http://bnbkeeper.webimprovise.com/au)
20:16:33	9481/9481	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202016%2011:53:08%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/bnb-keepers-logo-lg.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/bnb-keepers-logo-lg.png	(from http://bnbkeeper.webimprovise.com/au)
20:16:33	80222/80222	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2009:18:46%20GMT	http://bnbkeeper.webimprovise.com/au/faq	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/au/faq.html	(from http://bnbkeeper.webimprovise.com/au)
20:16:35	9642/9642	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202016%2013:17:50%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/icon/1.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/icon/1.png	(from http://bnbkeeper.webimprovise.com/au)
20:16:35	9312/9312	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202016%2013:18:00%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/icon/2.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/icon/2.png	(from http://bnbkeeper.webimprovise.com/au)
20:16:36	9311/9311	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202016%2013:18:10%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/icon/3.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/icon/3.png	(from http://bnbkeeper.webimprovise.com/au)
20:16:37	11065/11065	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202016%2013:18:20%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/icon/4.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/icon/4.png	(from http://bnbkeeper.webimprovise.com/au)
